distance,duration
490.911047,0.613000
361.031115,0.217000
367.238976,0.330000
422.957035,0.503000
73.242641,0.130000
524.031913,0.309000
429.761366,0.473000
186.542676,0.165000
492.837784,0.533000
702.933827,0.546000
824.611979,0.671000
610.478210,0.317000
771.621306,0.504000
615.778140,0.572000
179.999088,0.262000
268.076026,0.285000
303.960854,0.235000
175.811183,0.199000
569.368631,0.336000
551.550382,0.336000
217.092028,0.274000
474.228025,0.524000
315.891442,0.382000
272.210357,0.246000
574.592901,0.374000
673.920663,0.583000
438.498095,0.425000
436.902299,0.346000
268.412172,0.311000
87.348766,0.127000
49.414214,0.261000
277.808999,0.251000
132.370679,0.216000
89.064495,0.228000
705.052504,0.321000
576.850434,0.369000
344.552372,0.309000
1189.129933,0.614000
165.727922,0.299000
656.413959,0.344000
662.930824,0.367000
401.327858,0.290000
269.009057,0.368000
1038.790687,0.701000
698.673937,0.569000
831.102123,0.436000
538.863488,0.273000
61.179388,0.073000
164.743262,0.276000
99.556349,0.260000
84.257980,0.077000
84.899495,0.300000
469.463426,0.277000
92.899495,0.171000
417.586232,0.295000
141.680009,0.177000
247.800888,0.425000
209.262649,0.293000
839.651077,0.796000
287.472109,0.225000
228.718984,0.201000
225.118319,0.298000
227.535679,0.325000
350.920244,0.186000
204.756697,0.178000
532.403863,0.374000
204.781746,0.357000
82.878825,0.097000
130.627417,0.238000
857.896408,0.414000
463.376020,0.481000
90.313708,0.176000
1014.877407,0.589000
40.000000,0.183000
731.580496,0.435000
938.279933,0.586000
431.077154,0.399000
485.148480,0.599000
158.028485,0.231000
99.378204,0.137000
110.313708,0.242000
131.464611,0.162000
105.798990,0.233000
373.057262,0.246000
595.007059,0.559000
1008.728817,0.484000
634.872207,0.697000
574.916235,0.346000
131.455844,0.210000
1048.462906,0.449000
601.629907,0.722000
468.446038,0.297000
463.625161,0.328000
483.297769,0.367000
132.526912,0.225000
432.138327,0.696000
514.266592,0.346000
68.242641,0.323000
813.792402,0.728000
312.164682,0.190000
819.411502,0.527000
475.368931,0.313000
429.807981,0.321000
714.077139,0.465000
137.455844,0.265000
248.867874,0.203000
591.327196,0.624000
1409.943083,0.611000
970.348409,0.734000
261.370679,0.301000
194.627417,0.436000
329.952377,0.299000
225.477095,0.336000
829.253198,0.712000
485.765193,0.536000
1067.942403,0.528000
182.769553,0.338000
317.508436,0.480000
255.105597,0.337000
642.727142,0.311000
366.170621,0.544000
428.678395,0.376000
368.094646,0.285000
653.563264,0.694000
77.713825,0.092000
1082.411308,0.480000
123.112698,0.206000
58.727922,0.144000
106.698485,0.151000
153.419834,0.254000
169.112698,0.231000
171.561970,0.270000
894.347631,0.470000
69.656854,0.136000
155.956465,0.272000
83.485281,0.177000
167.656854,0.370000
31.000000,0.201000
73.242641,0.243000
99.449271,0.168000
70.899495,0.172000
76.899495,0.195000
55.828427,0.167000
18.242641,0.088000
36.071068,0.102000
102.798990,0.199000
113.727922,0.245000
645.833732,0.599000
692.946942,0.602000
494.660362,0.431000
532.528734,0.696000
27.414214,0.119000
484.986100,0.258000
127.970563,0.238000
489.869986,0.451000
796.359015,0.524000
84.213203,0.275000
64.963990,0.149000
439.864199,0.396000
502.575163,0.286000
100.370679,0.095000
500.104096,0.658000
284.794902,0.355000
29.485281,0.041000
486.668001,0.773000
270.665239,0.245000
229.086698,0.226000
359.697612,0.443000
497.771416,0.337000
375.058503,0.316000
303.110804,0.498000
129.828427,0.278000
682.010647,0.432000
292.652064,0.198000
113.310996,0.138000
295.471184,0.473000
657.423865,0.540000
92.455844,0.155000
281.706310,0.241000
77.502815,0.057000
346.178716,0.444000
139.012193,0.400000
323.806991,0.353000
143.568542,0.178000
475.597318,0.535000
148.740115,0.234000
374.754975,0.170000
138.355339,0.183000
400.395086,0.293000
171.490902,0.193000
371.498055,0.325000
150.035058,0.169000
1508.488718,0.676000
72.071068,0.269000
93.142136,0.223000
113.727922,0.219000
794.313354,0.432000
433.143850,0.252000
210.070116,0.477000
146.627417,0.262000
394.179263,0.325000
609.244814,0.362000
136.811183,0.180000
150.254834,0.409000
630.313637,0.525000
134.142136,0.316000
425.615566,0.385000
492.737199,0.329000
330.469045,0.386000
424.516531,0.486000
324.275794,0.407000
321.366891,0.223000
627.372000,0.685000
129.200058,0.140000
101.963990,0.128000
738.267728,0.354000
10.414214,0.055000
529.170259,0.417000
209.325902,0.304000
170.284271,0.289000
182.719445,0.185000
530.684102,0.404000
450.652642,0.388000
242.459561,0.234000
204.449271,0.284000
321.452489,0.240000
983.715216,0.651000
554.112383,0.758000
79.870058,0.148000
100.785844,0.150000
121.556349,0.275000
160.213203,0.395000
267.741358,0.407000
107.727922,0.281000
535.174724,0.411000
519.704611,0.332000
543.823811,0.495000
219.426407,0.324000
246.112698,0.266000
232.225397,0.294000
111.855960,0.153000
567.348505,0.422000
124.082309,0.143000
134.142136,0.236000
342.471184,0.435000
146.769553,0.176000
204.522534,0.280000
952.670365,0.755000
394.080125,0.411000
905.157156,0.492000
207.911688,0.303000
840.215364,0.734000
89.798990,0.154000
405.429739,0.419000
