distance,duration
381.215688,0.587001
204.741078,0.184987
782.837794,0.842985
544.924127,0.442987
91.721349,0.183991
414.259382,0.256003
211.685339,0.286991
297.935472,0.207002
501.789871,0.518001
288.227601,0.342991
118.142136,0.785995
592.543916,0.826993
195.071068,0.485005
262.736542,0.161997
831.675334,0.515006
451.080405,0.679992
485.013099,0.381005
136.313708,0.278002
408.612263,0.473988
564.190899,0.885992
200.556349,0.282999
171.422452,0.136010
575.363078,0.484003
567.846549,0.705005
171.028485,0.187995
204.785844,0.178002
353.435450,0.230949
485.506137,0.473980
239.178436,0.327992
870.210193,0.692004
428.193037,0.304006
280.071358,0.278993
345.347482,0.319008
803.671526,0.779988
1084.112343,0.922994
602.162533,0.507001
282.448319,0.499999
219.625455,0.182991
668.898114,1.308990
255.150903,0.370005
610.196879,0.499989
828.892302,0.614000
824.044265,0.974956
404.469745,0.786998
543.808589,0.341992
139.561970,0.171990
485.245207,0.441969
731.342978,0.497994
328.596086,0.395990
251.528154,0.373976
598.878597,0.564992
127.549776,0.325993
780.682187,1.106001
955.522940,0.700993
298.761423,0.398981
443.028947,0.419006
109.727922,0.492999
139.635232,0.484992
162.899495,0.417996
498.029200,0.474001
619.776178,0.633987
245.040678,0.608989
357.996192,0.552996
192.931417,0.403042
383.662042,0.575004
340.436105,0.631004
374.007569,0.203996
286.416227,0.357990
224.094118,0.220996
673.340289,1.062004
163.714777,0.151000
163.442699,0.156995
223.291134,0.283001
727.792032,1.353000
240.624590,0.154992
568.807576,0.966998
948.370997,1.247005
634.058047,0.589989
241.727922,0.520985
351.334313,0.187993
360.909784,0.797996
954.993717,3.166985
92.656854,0.179998
64.000000,0.168994
277.041631,0.885996
1075.465429,0.939003
710.988287,0.554990
590.307716,1.134011
136.307136,0.220996
275.078664,0.172993
595.888954,0.560990
857.921454,0.639990
260.449271,0.560994
72.242641,0.163991
470.794807,0.403991
512.981772,0.778006
165.450514,0.267988
789.251541,1.235999
90.656854,0.322955
274.354583,0.570993
1035.794301,2.738988
532.487590,0.394992
741.020805,0.800000
142.721349,0.255997
382.872252,0.712993
194.656854,0.328954
162.656854,0.930995
67.556349,0.228001
391.231028,0.813992
64.727922,0.136009
118.627417,0.512991
636.740644,0.697005
536.984653,0.817989
993.648400,1.463988
263.792707,0.467001
481.785850,0.539988
323.111461,0.302993
458.422452,0.808010
491.970563,1.171000
423.738883,0.715043
505.470635,0.383992
307.954757,0.327002
319.184056,0.579999
679.422028,1.473996
200.485281,0.213990
604.118317,0.420001
181.370679,0.389994
466.796663,0.355000
521.190629,0.914005
157.337815,0.168992
232.812031,0.897006
496.967427,0.743004
132.307136,0.704997
308.551182,0.209991
1392.798766,1.826999
605.853011,0.534004
576.338749,0.286997
108.213203,0.453000
921.953365,0.517993
121.384776,0.386997
334.713596,0.388984
440.089447,0.402993
269.064681,0.244997
408.434222,0.631998
475.096198,0.402996
168.252650,0.156004
299.379755,0.702946
210.952377,0.170994
187.082309,0.233999
500.124697,0.256986
209.396970,0.531994
367.109334,0.360998
221.587029,0.274015
864.254463,1.172996
207.128990,0.193986
821.162656,0.499002
653.487926,0.400996
225.373173,0.371998
606.320342,0.334979
193.732591,0.224001
580.599624,0.354959
331.195680,0.215015
774.637038,0.570004
82.071068,0.411983
803.996060,0.456998
1008.670855,0.894002
297.511862,0.537043
653.446855,0.379991
434.832868,0.430988
481.891028,0.575995
422.595426,0.219002
107.970563,0.346979
711.454165,0.342041
483.699988,0.247996
240.325912,0.192992
414.137705,0.404990
159.908262,0.157994
642.453202,0.313946
166.322476,0.162995
634.101591,0.571988
853.008156,0.546005
599.643054,0.241001
530.537211,0.792012
709.598375,0.847994
376.454112,0.420992
298.241699,0.204993
196.313708,0.534049
462.878142,0.280003
507.478667,0.433998
284.481483,0.236005
363.479289,0.411997
191.513767,0.245008
188.727922,0.169016
316.331314,0.588010
607.784402,0.383006
185.206631,0.390978
592.523101,0.375951
182.843767,0.182001
171.930174,0.436004
468.517907,0.435995
138.597980,0.264004
825.371535,1.429997
401.393742,0.333997
232.619892,0.455002
264.962819,0.202004
145.213203,0.222002
339.378551,0.409987
228.705348,0.439998
1051.926371,1.419005
582.926165,0.355999
181.949893,0.349994
584.659619,0.934004
253.843767,0.697001
501.168412,0.395003
250.807757,0.256045
232.812217,0.322003
378.447657,0.703004
731.717141,0.512002
626.495881,1.000998
154.798038,0.248994
380.642001,0.398000
838.290634,0.731003
198.142136,0.412009
168.950845,0.234999
543.945203,0.359992
353.599098,0.256997
449.273782,0.206005
348.717389,0.366996
544.037723,0.859002
711.595033,0.745004
257.804610,0.361999
378.622228,0.200993
485.726598,0.299992
524.849119,0.720006
236.971805,0.443008
414.190929,0.594000
586.348766,1.860008
989.128283,1.455005
535.138981,0.435985
214.030679,0.221008
229.286466,0.205014
737.830600,0.507992
427.985501,0.423997
263.272368,0.283987
192.601126,0.163963
218.429553,0.547002
627.746742,0.624959
95.656854,0.795010
122.206631,0.134996
522.329918,1.041005
655.494639,1.061012
1043.497584,1.421010
555.197912,0.467995
181.870058,0.472989
386.403832,0.453988
487.264025,0.693000
397.330186,0.312003
555.405599,0.772994
149.828427,0.255000
208.538587,0.377999
262.680961,0.288998
