distance,duration
34.242641,0.153999
27.828427,0.116989
47.242641,0.122994
33.485281,0.075998
93.299611,0.129991
107.691912,0.202007
652.024677,0.953012
40.000000,0.167989
623.485962,0.652000
39.414214,0.246996
36.414214,0.242984
434.698485,1.457050
499.746460,0.655994
156.828427,0.419999
100.485281,0.211994
34.000000,0.195006
481.876509,0.235991
120.899495,0.138993
375.415935,0.181993
405.964280,0.589999
768.685497,0.409987
82.455844,0.173993
68.478709,0.123001
427.099308,0.220001
507.503639,0.316994
19.414214,0.044994
109.691912,0.184003
478.428182,0.395981
271.384444,0.191002
12.000000,0.059949
20.000000,0.103002
439.321854,0.296997
10.414214,0.083996
574.412599,0.713996
281.451466,0.211001
287.135563,0.268002
513.736128,0.522008
607.647435,0.720005
491.914835,0.507006
239.818718,0.229000
34.828427,0.175996
521.656556,0.482968
334.794569,0.242996
10.000000,0.031992
333.820315,0.148992
63.828427,0.329998
30.414214,0.193003
127.142136,0.170996
655.708008,0.378986
282.556349,0.402004
133.543204,0.147043
166.804610,0.232996
283.672194,0.440996
558.285122,0.374021
86.649329,0.123003
284.216112,0.229984
95.206631,0.205994
292.549962,0.224991
83.342194,0.108999
267.648283,0.223990
11.000000,0.038002
134.870058,0.234991
465.031000,0.314001
147.619892,0.203993
364.661607,0.230986
138.342194,0.177989
385.146138,0.235999
169.784892,0.228994
378.358972,0.358002
162.471184,0.218002
1481.994966,0.821994
81.071068,0.197995
66.000000,0.182000
124.142136,0.188948
74.000000,0.205000
149.135563,0.421997
68.485281,0.200999
20.000000,0.072994
32.414214,0.074949
100.556349,0.200994
25.000000,0.124001
775.467584,0.671992
429.769019,0.319992
191.863485,0.199996
142.756407,0.141999
404.014388,0.609006
694.782470,0.686005
130.292086,0.137991
140.548824,0.234990
540.583704,0.551003
126.242641,0.270994
407.030670,0.244986
503.801222,0.417008
409.320571,0.540996
434.199987,0.218990
56.307136,0.098991
283.486682,0.117989
322.634196,0.244998
745.340516,0.548991
95.899495,0.206047
30.242641,0.072042
106.142136,0.199993
774.938590,0.694000
211.454729,0.149997
224.329429,0.168006
467.759535,0.207985
188.225407,0.157991
165.564588,0.173007
177.371921,0.158999
498.865397,0.261993
458.791402,0.544008
149.892922,0.159995
373.739464,0.535985
191.414214,0.370990
383.957384,0.436998
972.361074,0.644003
272.631806,0.203999
87.485281,0.311000
99.727922,0.134999
106.307136,0.153002
158.798990,0.396994
128.656854,0.351001
144.478709,0.167993
243.683041,0.136942
536.755906,0.671995
514.591767,0.336991
520.867759,0.405001
188.071068,0.252000
290.698485,0.813001
194.242641,0.476998
125.455844,0.257999
572.183724,0.306988
150.798990,0.513001
124.792417,0.140993
319.046019,0.287006
24.828427,0.111990
129.721349,0.144944
192.958660,0.224997
673.741183,0.366992
326.735209,0.451978
374.356258,0.347995
961.737520,0.606995
181.992812,0.170946
818.281652,0.606995
85.135563,0.174002
419.530359,0.436989
321.136058,0.227996
375.062090,0.272993
12.414214,0.055996
859.581170,0.951000
61.899495,0.326996
358.303692,0.171948
360.194186,0.186991
