stroke_id,start_x,start_y,end_x,end_y
1849,-1011.000000,155.000000,-799.000000,699.000000
1850,-803.000000,692.000000,-684.000000,699.000000
1851,-687.000000,700.000000,-601.000000,685.000000
1852,-599.000000,685.000000,-458.000000,648.000000
1853,-457.000000,648.000000,-322.000000,591.000000
1854,-325.000000,567.000000,-776.000000,626.000000
1855,-777.000000,626.000000,-796.000000,637.000000
1856,-805.000000,639.000000,-471.000000,258.000000
1857,-470.000000,258.000000,-682.000000,497.000000
1858,-693.000000,494.000000,-958.000000,206.000000
1859,-159.000000,661.000000,-337.000000,656.000000
1860,-337.000000,656.000000,-132.000000,698.000000
1861,-132.000000,697.000000,-831.000000,522.000000
1862,-95.000000,686.000000,-810.000000,635.000000
1863,-810.000000,635.000000,-731.000000,568.000000
1864,-730.000000,569.000000,-142.000000,646.000000
1865,-141.000000,645.000000,-221.000000,252.000000
1866,-220.000000,253.000000,-709.000000,551.000000
1867,-712.000000,554.000000,-803.000000,620.000000
1868,-803.000000,622.000000,-430.000000,246.000000
1869,-431.000000,244.000000,-453.000000,373.000000
1870,-453.000000,375.000000,-554.000000,620.000000
1871,-587.000000,645.000000,-673.000000,233.000000
1872,-674.000000,233.000000,-486.000000,431.000000
1873,-486.000000,431.000000,-613.000000,661.000000
1874,-612.000000,651.000000,-567.000000,476.000000
1875,-567.000000,474.000000,-544.000000,221.000000
1876,-546.000000,216.000000,-644.000000,260.000000
1877,-638.000000,259.000000,-728.000000,534.000000
1878,-728.000000,532.000000,-880.000000,627.000000
1879,-880.000000,627.000000,-797.000000,510.000000
1880,-795.000000,505.000000,-556.000000,324.000000
1881,-549.000000,324.000000,-194.000000,243.000000
1882,-655.000000,464.000000,-795.000000,543.000000
1883,-785.000000,544.000000,-871.000000,626.000000
1884,-870.000000,626.000000,-212.000000,245.000000
1885,-213.000000,244.000000,-675.000000,535.000000
1886,-672.000000,533.000000,-776.000000,594.000000
1887,-776.000000,594.000000,-406.000000,252.000000
1888,-406.000000,252.000000,-676.000000,532.000000
1889,-675.000000,534.000000,-848.000000,622.000000
1890,-847.000000,623.000000,-556.000000,282.000000
1891,-557.000000,283.000000,-537.000000,542.000000
1892,-537.000000,542.000000,-107.000000,7.000000
1893,-1313.000000,488.000000,-645.000000,658.000000
1894,-182.000000,596.000000,-226.000000,234.000000
1895,-225.000000,241.000000,-262.000000,408.000000
1896,-263.000000,409.000000,-200.000000,230.000000
1897,-204.000000,230.000000,-669.000000,516.000000
1898,-668.000000,517.000000,-815.000000,623.000000
1899,-1308.000000,478.000000,-705.000000,641.000000
1900,-703.000000,640.000000,-180.000000,554.000000
1901,-186.000000,562.000000,-262.000000,535.000000
1902,-274.000000,533.000000,-701.000000,460.000000
1903,-701.000000,460.000000,-715.000000,543.000000
1904,-716.000000,544.000000,-859.000000,631.000000
1905,-368.000000,7.000000,-297.000000,361.000000
1906,-301.000000,367.000000,-170.000000,226.000000
1907,-169.000000,226.000000,-673.000000,536.000000
1908,-674.000000,542.000000,-824.000000,603.000000
1909,-339.000000,22.000000,-218.000000,245.000000
1910,-1424.000000,418.000000,-592.000000,381.000000
1911,-591.000000,382.000000,-1123.000000,670.000000
1912,-1130.000000,695.000000,-1258.000000,385.000000
1913,-1257.000000,388.000000,-851.000000,199.000000
1914,-664.000000,703.000000,-674.000000,557.000000
1915,-675.000000,556.000000,-1057.000000,709.000000
1916,-334.000000,9.000000,-331.000000,317.000000
1917,-307.000000,294.000000,-223.000000,227.000000
1918,-287.000000,285.000000,-680.000000,530.000000
1919,-686.000000,536.000000,-840.000000,394.000000
1920,-844.000000,387.000000,-889.000000,323.000000
1921,-889.000000,323.000000,-703.000000,533.000000
1922,-709.000000,541.000000,-914.000000,610.000000
1923,-913.000000,611.000000,-1391.000000,419.000000
1924,-625.000000,371.000000,-666.000000,286.000000
1925,-665.000000,286.000000,-650.000000,659.000000
1926,-649.000000,658.000000,-839.000000,281.000000
1927,-839.000000,281.000000,-726.000000,708.000000
1928,-722.000000,705.000000,-894.000000,657.000000
1929,-894.000000,655.000000,-796.000000,636.000000
1930,-800.000000,638.000000,-1222.000000,370.000000
1931,-1223.000000,370.000000,-1087.000000,497.000000
1932,-1080.000000,502.000000,-567.000000,750.000000
1933,-566.000000,749.000000,-606.000000,677.000000
1934,-607.000000,678.000000,-836.000000,264.000000
1935,-836.000000,262.000000,-733.000000,250.000000
1936,-731.000000,250.000000,-937.000000,476.000000
1937,-574.000000,497.000000,-411.000000,257.000000
1938,-411.000000,257.000000,-933.000000,431.000000
1939,-934.000000,433.000000,-686.000000,699.000000
1940,-673.000000,692.000000,-776.000000,646.000000
1941,-771.000000,640.000000,-759.000000,454.000000
1942,-758.000000,453.000000,-702.000000,212.000000
1943,-702.000000,212.000000,-729.000000,433.000000
1944,-728.000000,471.000000,-737.000000,214.000000
1945,-737.000000,216.000000,-722.000000,430.000000
1946,-721.000000,431.000000,-742.000000,202.000000
1947,-742.000000,219.000000,-1015.000000,687.000000
1948,-1078.000000,652.000000,-1564.000000,422.000000
1949,-651.000000,706.000000,-392.000000,506.000000
1950,-392.000000,506.000000,-578.000000,684.000000
1951,-593.000000,708.000000,-531.000000,525.000000
1952,-531.000000,523.000000,-254.000000,489.000000
1953,-254.000000,487.000000,-799.000000,489.000000
1954,-789.000000,483.000000,-670.000000,688.000000
1955,-656.000000,703.000000,-526.000000,514.000000
1956,-526.000000,512.000000,-509.000000,289.000000
1957,-509.000000,289.000000,-1031.000000,739.000000
1958,-1031.000000,739.000000,-1382.000000,416.000000
1959,-1385.000000,417.000000,-633.000000,389.000000
1960,-749.000000,650.000000,-471.000000,487.000000
1961,-471.000000,485.000000,-489.000000,298.000000
1962,-517.000000,275.000000,-912.000000,309.000000
1963,-915.000000,310.000000,-801.000000,257.000000
1964,-802.000000,256.000000,-964.000000,397.000000
1965,-964.000000,399.000000,-1425.000000,567.000000
1966,-751.000000,516.000000,-680.000000,696.000000
1967,-673.000000,697.000000,-819.000000,626.000000
1968,-821.000000,625.000000,-530.000000,197.000000
1969,-598.000000,735.000000,-854.000000,656.000000
1970,-825.000000,664.000000,-594.000000,334.000000
1971,-594.000000,339.000000,-810.000000,274.000000
1972,-811.000000,272.000000,-1074.000000,384.000000
1973,-1074.000000,384.000000,-534.000000,455.000000
1974,-526.000000,454.000000,-935.000000,712.000000
1975,-938.000000,713.000000,-151.000000,771.000000
1976,-1454.000000,421.000000,-645.000000,441.000000
1977,-645.000000,440.000000,-1008.000000,513.000000
1978,-1017.000000,518.000000,-1270.000000,514.000000
1979,-619.000000,658.000000,-270.000000,497.000000
1980,-266.000000,493.000000,-195.000000,77.000000
1981,-194.000000,77.000000,-169.000000,173.000000
1982,-171.000000,172.000000,-316.000000,158.000000
1983,-316.000000,158.000000,-315.000000,492.000000
1984,-316.000000,491.000000,-303.000000,462.000000
1985,-303.000000,462.000000,-250.000000,217.000000
1986,-240.000000,340.000000,-807.000000,476.000000
1987,-805.000000,477.000000,-537.000000,392.000000
1988,-536.000000,393.000000,-453.000000,423.000000
1989,-449.000000,429.000000,-457.000000,346.000000
1990,-454.000000,288.000000,-253.000000,250.000000
1991,-252.000000,251.000000,-390.000000,412.000000
1992,-389.000000,413.000000,-477.000000,493.000000
1993,-471.000000,494.000000,-799.000000,384.000000
1994,-798.000000,385.000000,-406.000000,377.000000
1995,-404.000000,377.000000,-257.000000,381.000000
1996,-256.000000,382.000000,-830.000000,500.000000
1997,-830.000000,500.000000,-593.000000,466.000000
1998,-593.000000,464.000000,-323.000000,480.000000
1999,-322.000000,479.000000,-731.000000,485.000000
2000,-731.000000,483.000000,-991.000000,714.000000
2001,-994.000000,716.000000,-561.000000,429.000000
2002,-561.000000,427.000000,-173.000000,770.000000
2003,-172.000000,769.000000,-632.000000,571.000000
2004,-633.000000,570.000000,-721.000000,267.000000
2005,-721.000000,267.000000,-88.000000,622.000000
2006,-86.000000,623.000000,-85.000000,698.000000
2007,-126.000000,721.000000,-134.000000,594.000000
2008,-135.000000,588.000000,-143.000000,586.000000
2009,-174.000000,574.000000,-547.000000,350.000000
2010,-546.000000,350.000000,-623.000000,636.000000
2011,-624.000000,637.000000,-658.000000,747.000000
2012,-1472.000000,328.000000,-856.000000,722.000000
2013,-642.000000,725.000000,-1097.000000,569.000000
2014,-1102.000000,560.000000,-254.000000,586.000000
2015,-252.000000,587.000000,-798.000000,512.000000
2016,-800.000000,508.000000,-674.000000,746.000000
2017,-692.000000,676.000000,-288.000000,343.000000
2018,-752.000000,792.000000,-469.000000,686.000000
2019,-1473.000000,741.000000,-1595.000000,680.000000
2020,-1587.000000,678.000000,-1535.000000,278.000000
2021,-1523.000000,296.000000,-1495.000000,753.000000
2022,-1500.000000,738.000000,-1503.000000,725.000000
2023,-439.000000,373.000000,-505.000000,368.000000
2024,-507.000000,369.000000,-565.000000,394.000000
2025,-566.000000,395.000000,-938.000000,364.000000
2026,-938.000000,362.000000,-163.000000,599.000000
2027,-161.000000,599.000000,-103.000000,735.000000
2028,-103.000000,735.000000,-318.000000,668.000000
2029,-322.000000,662.000000,-276.000000,562.000000
2030,-278.000000,562.000000,-441.000000,667.000000
2031,-441.000000,668.000000,-707.000000,255.000000
2032,-709.000000,255.000000,-919.000000,107.000000
2033,-159.000000,653.000000,-286.000000,732.000000
2034,-287.000000,733.000000,-143.000000,731.000000
2035,-143.000000,732.000000,-344.000000,769.000000
2036,-341.000000,760.000000,-323.000000,653.000000
2037,-323.000000,651.000000,-294.000000,559.000000
2038,-297.000000,556.000000,-434.000000,673.000000
2039,-435.000000,674.000000,-699.000000,611.000000
2040,-700.000000,610.000000,-771.000000,492.000000
2041,-129.000000,725.000000,-103.000000,706.000000
2042,-118.000000,700.000000,-750.000000,651.000000
2043,-752.000000,608.000000,-786.000000,633.000000
2044,-104.000000,681.000000,-139.000000,767.000000
2045,-139.000000,768.000000,-271.000000,533.000000
2046,-271.000000,531.000000,-275.000000,539.000000
2047,-274.000000,550.000000,-115.000000,802.000000
2048,-114.000000,796.000000,-143.000000,733.000000
2049,-142.000000,732.000000,-218.000000,571.000000
2050,-220.000000,571.000000,-799.000000,629.000000
2051,-799.000000,629.000000,-475.000000,347.000000
2052,-474.000000,348.000000,-729.000000,482.000000
2053,-746.000000,480.000000,-1083.000000,405.000000
2054,-420.000000,739.000000,-998.000000,602.000000
2055,-1007.000000,597.000000,-891.000000,456.000000
2056,-100.000000,723.000000,-833.000000,644.000000
2057,-855.000000,641.000000,-738.000000,637.000000
2058,-738.000000,636.000000,-750.000000,594.000000
2059,-723.000000,595.000000,-83.000000,646.000000
2060,-83.000000,646.000000,-299.000000,623.000000
2061,-300.000000,624.000000,-144.000000,704.000000
2062,-142.000000,704.000000,-196.000000,579.000000
2063,-198.000000,577.000000,-512.000000,574.000000
2064,-513.000000,575.000000,-505.000000,640.000000
2065,-506.000000,642.000000,-834.000000,660.000000
2066,-852.000000,675.000000,-639.000000,174.000000
2067,-639.000000,174.000000,-1000.000000,237.000000
2068,-1001.000000,237.000000,-178.000000,662.000000
2069,-180.000000,665.000000,-444.000000,250.000000
2070,-443.000000,251.000000,-393.000000,390.000000
2071,-1044.000000,636.000000,-345.000000,470.000000
2072,-700.000000,194.000000,-647.000000,248.000000
2073,-647.000000,248.000000,-425.000000,434.000000
2074,-424.000000,435.000000,-652.000000,653.000000
2075,-652.000000,653.000000,-310.000000,484.000000
2076,-310.000000,480.000000,-341.000000,234.000000
2077,-341.000000,244.000000,-333.000000,402.000000
2078,-334.000000,402.000000,-127.000000,40.000000
2079,-1083.000000,495.000000,-720.000000,672.000000
2080,-718.000000,673.000000,-573.000000,487.000000
2081,-573.000000,479.000000,-569.000000,235.000000
2082,-570.000000,259.000000,-227.000000,469.000000
2083,-227.000000,467.000000,-288.000000,363.000000
2084,-289.000000,362.000000,-220.000000,230.000000
2085,-737.000000,577.000000,-798.000000,619.000000
2086,-799.000000,621.000000,-563.000000,460.000000
2087,-563.000000,454.000000,-429.000000,266.000000
2088,-428.000000,267.000000,-666.000000,560.000000
2089,-666.000000,560.000000,-785.000000,645.000000
2090,-785.000000,646.000000,-486.000000,522.000000
2091,-486.000000,520.000000,-658.000000,485.000000
